,y2,y3,y4,y5,y6,y7,y8,y9,y10
CH3NH2,,,,,,,,"y9-CH3NH2 (0.2) (1 , 1)",
HN=C=N-CH3,,,,,,,,,"y10-HN=C=N-CH3 (-0.04) (1 , 1)"
CH3-NH2,,,,,,,,"y9-CH3-NH2 (-0.3) (1 , 1)",
H2O-NH3,"y2-H2O-NH3 (-0.31) (1 , 1)",,,,,,,,
H2O,,,,,"y6-H2O (0.08) (1 , 1)","y7-H2O (-0.3) (1 , 1)",,,
NH3,,"y3-NH3 (-0.09) (1 , 1)","y4-NH3 (-0.06) (1 , 1)","y5-NH3 (-0.15) (1 , 1)","y6-NH3 (-0.39) (1 , 1)","y7-NH3 (-0.13) (1 , 1)","y8-NH3 (0.02) (1 , 1)","y9-NH3 (0.37) (1 , 1)","y10-NH3 (0.07) (1 , 1)"
HN=C=NH-2(H2O),,"y3-HN=C=NH-2(H2O) (-0.34) (1 , 1)","y4-HN=C=NH-2(H2O) (-0.69) (1 , 1)",,,,,,
CH3NH2-NH3,,,,,,,,"y9-CH3NH2-NH3 (0.47) (1 , 1)",
No Loss,,"y3 (-0.32) (1 , 1)",,"y5 (-0.01) (1 , 1)","y6 (0.31) (1 , 1)","y7 (0.29) (1 , 1)",,,
