Intensity Ranking,m/z A,Interpretation A,m/z B,Interpretation B,MassDeviation
2,1184.768366,y12(1+),195.088376,b2(1+),0.023
5,494.274079,b5(1+),885.581292,y9(1+),0.026
7,1083.719942,y11(1+),296.136324,b3(1+),0.026
23,260.197797,y2(1+),1119.658134,b12(1+),0.022
25,607.358754,b6(1+),772.496326,y8(1+),0.022
53,671.447937,y7(1+),708.406714,b7(1+),0.023
54,779.444612,b8(1+),600.410564,y6(1+),0.025
99,430.304119,y4(1+),949.550299,b10(1+),0.02
508,373.282227,y3(1+),1006.57324,b11(1+),0.017
1900,624.373941,,755.470211,,
4462,690.428443,,689.378148,,
8560,689.878064,,689.926908,,
28818,885.581292,y9(1+),494.237827,b5(1+),0.062
29074,505.285924,,874.518543,,
30088,737.458693,,642.384691,,
